feature,importance_gain,importance_split
thomebanking_delta_3,25.703720092773438,3
cforex_delta_2,25.162370204925537,3
cforex_buy_delta_3,24.68429946899414,1
mcheques_depositados_rechazados,24.16189956665039,1
TC_Total_status_delta_2,23.8016996383667,2
ccheques_depositados_delta_mean_4,23.545589923858643,3
ccheques_depositados_delta_3,23.50320053100586,1
cseguro_vivienda_delta_2,23.15220069885254,1
mforex_sell,22.778180599212646,2
ccajeros_propios_descuentos_delta_mean_4,22.580260753631592,3
matm_other,21.930360317230225,3
cseguro_accidentes_personales_delta_mean_4,20.91060996055603,3
cforex_delta_3,20.283430099487305,2
Visa_mpagosdolares,19.587170362472534,3
ccheques_emitidos_delta_mean_4,18.988479614257812,2
Visa_madelantopesos,18.657870292663574,2
cseguro_accidentes_personales_delta_mean_8,18.33008050918579,3
ccajas_otras_delta_2,17.9143009185791,1
cseguro_vivienda_delta_mean_4,17.881579637527466,2
Master_mpagado,17.825969696044922,2
cpagodeservicios_delta_mean_4,17.610729694366455,3
minversion1_dolares,17.47073006629944,3
slope_Visa_madelantopesos_6_window,17.1737699508667,2
ctarjeta_master_debitos_automaticos_delta_2,16.744550228118896,2
catm_trx_other_delta_2,16.54380989074707,2
cforex_sell_delta_3,16.44972038269043,2
Master_mconsumosdolares,15.87633991241455,2
tmobile_app_delta_3,15.535919666290283,2
tmora_total_delta_mean_4,15.525000095367432,2
ctarjeta_master_descuentos,15.252709865570068,2
cseguro_vida_delta_mean_8,14.348299980163574,1
Master_cadelantosefectivo_delta_3,13.819299697875977,1
cseguro_accidentes_personales,13.392099857330322,2
slope_minversion2_6_window,13.106879949569702,2
cinversion2,11.977110385894775,3
ccajas_depositos_delta_2,11.687800407409668,1
ctarjeta_master_delta_3,11.621000289916992,1
catm_trx,11.460590362548828,2
Master_msaldodolares,11.047499656677246,1
Visa_delinquency,10.962900161743164,1
cempleadores_delta_2,10.833399772644043,1
ccajas_depositos_delta_3,10.555619716644287,2
ccajas_extracciones,10.475500106811523,1
cforex,10.213899612426758,1
slope_minversion1_pesos_6_window,10.146499633789062,1
Visa_cadelantosefectivo_delta_mean_8,9.976710319519043,1
tusa_app_o_homebanking_delta_2,9.744489669799805,1
tsin_transacciones_mes_delta_2,9.183690071105957,1
cempleadores_delta_3,8.251230001449585,2
tusa_app_o_homebanking_delta_3,8.250909805297852,1
cforex_sell,8.044939994812012,1
cpayroll_trx_delta_2,7.9773101806640625,1
tsin_inversiones,7.9402899742126465,1
Master_cadelantosefectivo_delta_mean_8,7.9190897941589355,1
ctarjeta_visa_descuentos_delta_3,7.8968400955200195,1
tsin_inversiones_delta_mean_8,7.775279998779297,1
cseguro_accidentes_personales_delta_2,7.715389966964722,2
talta_mora_delta_mean_4,7.495890140533447,1
tes_empleado_delta_3,7.236090183258057,1
ctarjeta_visa_descuentos_delta_2,7.152780055999756,1
ccheques_emitidos_delta_2,6.763269901275635,2
ccheques_emitidos_rechazados_delta_mean_4,6.622550010681152,1
TC_Total_mpagosdolares,5.874820232391357,1
ccheques_depositados_rechazados,5.709700107574463,1
tcuentas_delta_3,5.390999794006348,1
ccajeros_propios_descuentos,5.378990173339844,1
ccajeros_propios_descuentos_delta_3,5.303150177001953,1
Visa_cadelantosefectivo,4.8951897621154785,1
cinversion2_delta_mean_8,4.821780204772949,1
cinversion1,3.655240058898926,1
cprestamos_prendarios_delta_mean_8,0.0,0
