feature,importance_gain,importance_split
cplazo_fijo_delta_mean_4,99.90725016593933,9
slope_mdeuda_tarjetas_total_6_window,98.17521095275879,12
cpagodeservicios_delta_mean_8,97.91274952888489,19
Master_mconsumototal,96.93027973175049,15
tes_empleado_delta_2,96.84609079360962,4
tusa_app_o_homebanking_delta_mean_8,96.45252966880798,17
slope_TC_Total_mlimitecompra_6_window,95.66927099227905,15
Master_Fvencimiento_delta_mean_8,94.73294937610626,18
tcallcenter_delta_mean_8,94.39162075519562,18
ctarjeta_debito_transacciones_delta_mean_4,93.63736939430237,17
slope_TC_Total_mpagosdolares_6_window,92.64828968048096,17
ctrx_60d_delta_2,91.02552962303162,18
ctransferencias_recibidas_delta_mean_4,90.55491948127747,14
slope_Master_mconsumosdolares_6_window,90.19070076942444,11
ccajas_depositos_delta_mean_8,89.91641998291016,15
slope_TC_Total_msaldototal_6_window,89.13564920425415,10
slope_Master_mpagosdolares_6_window,88.83866965770721,17
ccajas_extracciones_delta_mean_8,88.68013954162598,18
cprestamos_hipotecarios,87.73835849761963,7
ctrx_120d_delta_mean_8,87.23181915283203,13
Master_cconsumos,86.83751034736633,14
slope_mplazo_fijo_dolares_6_window,86.66211998462677,9
Master_cconsumos_delta_mean_4,86.45437979698181,12
Master_cconsumos_delta_mean_8,86.25447034835815,15
cpagodeservicios_delta_mean_4,85.90309023857117,12
ccajas_consultas_delta_2,84.73406052589417,12
slope_Visa_mpagosdolares_6_window,83.84787106513977,12
tusa_app_o_homebanking,81.86357879638672,4
slope_Master_mconsumototal_6_window,81.30123019218445,15
cpagomiscuentas_delta_mean_4,80.70455837249756,11
foto_mes,80.2314100265503,5
slope_mtarjeta_visa_consumo_6_window,79.50835931301117,12
slope_mmargen_total_6_window,78.07423853874207,13
ccajas_depositos_delta_mean_4,77.97904109954834,15
Master_cconsumos_delta_3,77.14361095428467,10
ccanales_activos_delta_2,75.82605028152466,12
slope_mpayroll_6_window,75.58800959587097,10
slope_mttarjeta_master_debitos_automaticos_6_window,75.0801191329956,17
slope_mcheques_emitidos_rechazados_6_window,74.74376940727234,10
mpagodeservicios,74.4412293434143,12
cprestamos_prendarios,74.06613111495972,5
ctarjeta_visa_debitos_automaticos_delta_3,73.18083906173706,9
catm_trx_delta_3,73.11175966262817,11
slope_Master_madelantopesos_6_window,73.021311044693,6
tsin_transacciones_mes,71.35124063491821,2
slope_minversion_ratio_6_window,71.25021159648895,12
ctrx_360d_delta_3,70.70322966575623,9
slope_mforex_sell_6_window,68.04179978370667,12
ctransferencias_recibidas_delta_2,68.00435853004456,13
cmobile_app_trx,67.97934031486511,9
ctarjeta_visa_descuentos_delta_mean_8,67.5031099319458,10
minversion1_pesos,67.1795301437378,11
Visa_msaldodolares,67.0327501296997,10
thomebanking_delta_mean_4,64.85577964782715,12
slope_mprestamos_prendarios_6_window,64.60641968250275,9
cpagomiscuentas_delta_2,64.41112053394318,13
TC_Total_mpagado,63.41484832763672,9
ctrx_360d_delta_mean_8,63.18811047077179,11
ccomisiones_mantenimiento_delta_3,62.975139141082764,7
catm_trx_other_delta_mean_4,62.96982991695404,12
Visa_fultimo_cierre_delta_mean_4,62.56827926635742,5
TC_Total_Finiciomora,62.31096971035004,14
ctarjeta_master_transacciones_delta_3,61.854310274124146,10
ctransferencias_emitidas_delta_3,61.648669719696045,10
cplazo_fijo_delta_mean_8,61.6286506652832,9
cforex_sell_delta_mean_8,61.33951115608215,8
cpagodeservicios,60.04754030704498,12
catm_trx_other_delta_2,59.706520080566406,12
tmora_total_delta_mean_8,57.97953963279724,10
cseguro_vivienda,57.7638897895813,10
ccanales_activos_delta_3,56.43966007232666,7
cdiversificacion_financiera_delta_mean_8,56.106600284576416,9
cextraccion_autoservicio_delta_2,55.69826936721802,10
slope_mcheques_depositados_rechazados_6_window,55.520440220832825,10
mtarjeta_visa_descuentos,55.42066037654877,16
ccomisiones_mantenimiento_delta_2,54.41310954093933,6
ccanales_activos_delta_mean_4,51.99423050880432,11
ctarjeta_master_transacciones_delta_mean_4,51.93766009807587,15
ccajas_extracciones,51.65764927864075,7
cforex_buy_delta_mean_8,50.77569031715393,8
Master_fechaalta_delta_mean_8,50.58978986740112,6
talta_mora_delta_mean_8,50.30162000656128,6
Master_Finiciomora_delta_mean_8,49.75174951553345,5
slope_Master_Finiciomora_6_window,49.67718005180359,10
tusa_app_o_homebanking_delta_mean_4,49.400280594825745,9
ctransferencias_recibidas_delta_mean_8,49.396610498428345,10
tcallcenter_delta_mean_4,47.63291025161743,8
cforex_buy_delta_mean_4,47.53424954414368,10
ccallcenter_transacciones_delta_3,46.745179653167725,12
cforex_delta_mean_8,45.810920000076294,8
ccheques_depositados,45.572020053863525,6
matm_other,45.550970673561096,8
ccajas_transacciones_delta_2,45.36555027961731,8
ctarjeta_master_debitos_automaticos,44.51718068122864,8
Visa_fechaalta_delta_mean_8,44.33509016036987,6
tcuentas,44.20354962348938,3
ctarjeta_visa_delta_3,44.0260009765625,3
ccajeros_propios_descuentos_delta_mean_8,43.89269959926605,11
TC_Total_mpagosdolares,42.76776957511902,8
ccheques_emitidos_delta_2,42.56049990653992,7
slope_Master_msaldodolares_6_window,42.22678017616272,8
cmobile_app_trx_delta_mean_4,41.81419050693512,8
cprestamos_personales_delta_3,41.16992115974426,4
slope_mcheques_depositados_6_window,41.11772036552429,8
cdiversificacion_financiera_delta_mean_4,40.14886951446533,3
ccajas_consultas_delta_3,39.72879981994629,7
Visa_Fvencimiento_delta_mean_4,39.55795979499817,6
tmora_total_delta_mean_4,39.46158981323242,7
tsin_transacciones_mes_delta_mean_4,39.42758917808533,6
mcheques_depositados_rechazados,38.29169940948486,2
Master_fultimo_cierre_delta_mean_8,38.137770652770996,7
tusa_app_o_homebanking_delta_3,38.06841993331909,6
TC_Total_msaldodolares,36.47675013542175,8
Master_cadelantosefectivo_delta_2,36.173110485076904,2
talta_mora_delta_3,35.970359325408936,4
active_quarter,35.90458011627197,5
ccuenta_debitos_automaticos_delta_3,35.42940974235535,5
cplazo_fijo_delta_2,35.13459062576294,4
catm_trx_other,34.664809823036194,8
ctransferencias_recibidas_delta_3,34.59200978279114,8
tusa_app_o_homebanking_delta_2,34.502599239349365,4
Visa_mpagosdolares,34.340190410614014,7
ccheques_emitidos_rechazados_delta_mean_8,33.79648995399475,5
thomebanking_delta_3,33.661109924316406,5
slope_Visa_madelantopesos_6_window,33.63622069358826,9
catm_trx_delta_2,33.18347978591919,7
Master_fultimo_cierre_delta_mean_4,32.92397999763489,8
ccaja_ahorro_delta_3,32.697450041770935,2
ccheques_depositados_delta_mean_8,32.62231993675232,7
Visa_fultimo_cierre_delta_mean_8,31.768909454345703,4
cpagomiscuentas_delta_3,31.765539169311523,5
ctarjeta_master_delta_mean_8,31.563849449157715,4
ccheques_depositados_delta_mean_4,30.964470624923706,6
minversion2,30.8740097284317,9
tsin_sueldo_mes_delta_2,30.451499938964844,1
mforex_sell,30.275930404663086,6
Master_fechaalta_delta_mean_4,29.822619676589966,6
Visa_cadelantosefectivo_delta_mean_8,29.062700271606445,1
cpayroll_trx_delta_3,28.718399047851562,1
ctarjeta_master_debitos_automaticos_delta_mean_4,28.631890296936035,4
cforex_delta_mean_4,28.46568012237549,6
Master_status_delta_mean_4,27.910000324249268,4
tmora_total_delta_3,27.788660526275635,2
Visa_fultimo_cierre_delta_2,27.386120319366455,5
cforex,27.38222026824951,4
ccajeros_propios_descuentos_delta_mean_4,26.997910261154175,6
Visa_Finiciomora_delta_3,26.97681999206543,4
mcheques_depositados,26.85573983192444,4
Master_cadelantosefectivo_delta_mean_8,26.403200149536133,1
slope_mtarjeta_master_descuentos_6_window,26.35186016559601,7
Master_mconsumosdolares,25.955480337142944,4
Master_status_delta_mean_8,25.595110416412354,4
Visa_madelantopesos,24.384339570999146,4
cforex_sell_delta_2,23.834020376205444,5
Master_mpagado,23.66858959197998,3
